DATA DICTIONARY SUMMARY,,,,,,
,,,,,,
Dataset Overview,,,,,,
Total Sheets Analyzed:,4,,,,,
Total Columns Documented:,82,,,,,
Date Generated:,2025-07-31,,,,,
,,,,,,
Sheet Summary,,,,,,
Sheet Name,Columns,Rows,Description,,,
domain_worker_desires,31 (A-AE),"5,732",Worker ratings on task automation desires and human agency needs,,,
domain_worker_metadata,26 (A-Z),"1,501",Demographic and background information about survey respondents,,,
task_statement_with_metadata,14 (A-N),"2,132",O*NET task descriptions with occupational metadata,,,
expert_rated_technological_capa,11 (A-K),"2,058",Expert assessments of task automation capabilities,,,
,,,,,,
Note: Detailed column descriptions begin in row 16 below,,,,,,
