category_i,category_j,n_both,n_i_only,n_j_only,n_neither,jaccard,lift,or_estimate,log_or,log_or_ci_lower,log_or_ci_upper,p_value_exact,firth_penalized,q_value_fdr,meets_threshold
IV,V.B,0,31,23,97,0.0,0.0,0.0,-2.7202827695378446,-5.550128864579431,0.10956332550374137,0.004360419118299352,True,0.020348622552063645,True
II,V.B,22,74,1,54,0.2268041237113402,1.5045289855072461,16.054054054054053,2.3954517773858948,0.7061153341307091,4.08478822064108,0.000263879882606008,True,0.0020484148916706745,True
V.A,V.C,0,13,32,106,0.0,0.0,0.0,-2.108931970190541,-4.95885081138381,0.7409868710027285,0.07125419764958957,True,0.15347057955296214,False
IV,V.A,0,31,13,107,0.0,0.0,0.0,-2.068333564268199,-4.91885182108958,0.7821846925531823,0.07123951312696429,True,0.15347057955296214,False
I,V.B,6,89,17,39,0.05357142857142857,0.41464530892448515,0.15465961665565103,-1.8665285984306543,-2.870475681847547,-0.8625815150137612,0.00012186892911438324,False,0.0017061650076013654,True
I,IV,28,67,3,53,0.2857142857142857,1.435653650254669,7.383084577114428,1.8646951748027136,0.698028477529937,3.0313618720754905,0.0002926306988100963,True,0.0020484148916706745,True
III,V.C,23,39,9,80,0.323943661971831,1.7505040322580645,5.2421652421652425,1.6567346271371655,0.79627364864742,2.517195605626911,9.406042942653866e-05,False,0.0017061650076013654,True
V.B,V.C,1,22,31,97,0.018518518518518517,0.20516304347826086,0.14222873900293256,-1.578185368929996,-3.2791148282671623,0.12274409040717016,0.02913791256524361,True,0.08158615518268211,False
I,V.A,4,91,9,47,0.038461538461538464,0.4890688259109312,0.22954822954822954,-1.4028236630711013,-2.577952730529032,-0.2276945956131704,0.016605568071159663,True,0.05166176733249672,False
III,IV,20,42,11,78,0.273972602739726,1.571279916753382,3.3766233766233764,1.216876209161844,0.3910225221480289,2.042729896175659,0.003963288952603248,False,0.020348622552063645,True
V.B,VI,1,22,19,109,0.023809523809523808,0.32826086956521733,0.2607655502392344,-0.9825401174153556,-2.7041360856008074,0.7390558507700962,0.3131331308103345,True,0.4383863831344683,False
I,II,53,42,43,13,0.38405797101449274,0.8775219298245615,0.3815060908084164,-0.9636284629632721,-1.70443674634434,-0.22282017958220424,0.013840314773593956,False,0.04844110170757885,True
I,III,31,64,31,25,0.24603174603174602,0.7947368421052632,0.390625,-0.9400072584914712,-1.6193703140739206,-0.26064420290902157,0.009879057907302098,False,0.03951623162920839,True
I,V.C,15,80,17,39,0.13392857142857142,0.7450657894736842,0.43014705882352944,-0.8436281314982411,-1.6364747127215356,-0.050781550274946685,0.04068479092968276,False,0.10356128600282885,False
V.C,VI,2,30,18,101,0.04,0.471875,0.37407407407407406,-0.7991478853416479,-2.1804865216929152,0.5821907510096193,0.2485549606646868,True,0.36629152097953843,False
III,V.B,6,56,17,72,0.0759493670886076,0.635343618513324,0.453781512605042,-0.790139446547255,-1.784221280608444,0.20394238751393412,0.16640688956823518,False,0.31062619386070567,False
II,V.A,6,90,7,48,0.05825242718446602,0.7259615384615384,0.45714285714285713,-0.7827593392496325,-1.9280909263651038,0.36257224786583875,0.2285827502281651,False,0.35557316702159014,False
V.A,V.B,3,10,20,118,0.09090909090909091,1.5150501672240804,1.77,0.6558757857627137,-0.6415371608424641,1.9532887323678914,0.42011244152240396,True,0.5114412331577092,False
II,VI,10,86,10,45,0.09433962264150944,0.7864583333333333,0.5232558139534884,-0.6476848064831879,-1.5955026456963721,0.30013303272999614,0.21420988807338406,False,0.35557316702159014,False
II,IV,16,80,15,40,0.14414414414414414,0.8118279569892473,0.5333333333333333,-0.6286086594223742,-1.4287753087315456,0.17155798988679727,0.14428296306516702,False,0.28856592613033405,False
I,VI,10,85,10,46,0.09523809523809523,0.7947368421052632,0.5411764705882353,-0.6140098600012215,-1.5611256594660534,0.33310593946361056,0.22056637839422488,False,0.35557316702159014,False
II,V.C,18,78,14,41,0.16363636363636364,0.884765625,0.6758241758241759,-0.3918223317043778,-1.1860333019440956,0.40238863853534007,0.4083841504061584,False,0.5114412331577092,False
IV,VI,3,28,17,103,0.0625,0.7306451612903226,0.6491596638655462,-0.3197703870032814,-1.5400285116099979,0.9004877376034349,0.7666407954593898,True,0.8586376909145165,False
II,III,42,54,20,35,0.3620689655172414,1.065524193548387,1.3611111111111112,0.30830135965451666,-0.37320242419954786,0.9898051435085812,0.39550177662446,False,0.5114412331577092,False
V.A,VI,1,12,19,119,0.03125,0.5807692307692308,0.5219298245614035,-0.3073616303982268,-2.067346594881311,1.4526233340848573,1.0,True,1.0,False
III,VI,7,55,13,76,0.09333333333333334,0.8524193548387097,0.7440559440559441,-0.2956390533523632,-1.2778316686045945,0.6865535618998682,0.6312657571660594,False,0.7364767166937359,False
IV,V.C,6,25,26,94,0.10526315789473684,0.9133064516129032,0.8676923076923077,-0.14191811139162394,-1.1331560232608664,0.8493198004776185,1.0,False,1.0,False
III,V.A,5,57,8,81,0.07142857142857142,0.936724565756824,0.8881578947368421,-0.1186057424078469,-1.2862288201696293,1.0490173353539356,1.0,False,1.0,False
